# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cpu-clock:u'
# Event count (approx.): 14005023375
#
# Children|Self|Symbol|IPC   [IPC Coverage]
0.18%|0.18%|[.] _M0MPB3Map3MapGsRPB4JsonE|-      -
0.18%|0.18%|[.] _M0MPC15bytes5Bytes21clamped__view_2einner|-      -
0.18%|0.18%|[.] _M0MPC15deque5Deque10pop__frontGRP311moonbitlang5async6aqueue6WriterGRP27Hosi12111ws__session7MessageEE|-      -
0.18%|0.18%|[.] _mi_deferred_free|-      -
0.18%|0.18%|[.] simdutf::result simdutf::scalar::(anonymous namespace)::utf8_to_utf16::convert_with_errors<(simdutf::endianness)0, char const*>(char const*, unsigned long, char16_t*)|-      -
0.18%|0.18%|[.] 0x00000000000986c9|-      -
0.18%|0.14%|[.] _M0MPC111sorted__set9SortedSet4iterGRP411moonbitlang5async8internal11event__loop5TimerEC25102l589|-      -
0.18%|0.11%|[.] _M0MPC14json12ParseContext25lex__after__object__value|-      -
0.18%|0.04%|[.] _M0FP411moonbitlang5async8internal9coroutine7suspend|-      -
0.18%|0.04%|[.] _M0MPC14json12ParseContext16lex__number__end|-      -
0.18%|0.00%|[.] 0x00007a18284986c9|-      -
0.14%|0.14%|[.] _M0MP311moonbitlang5async6aqueue5Queue3getN16_2aasync__driverS226GRP27Hosi12111ws__session7MessageE|-      -
0.14%|0.14%|[.] _M0MP411moonbitlang5async8internal11event__loop8IoHandle28write__via__event__bus__unixN16_2aasync__driverS2300|-      -
0.14%|0.14%|[.] _M0MPC14json12ParseContext10read__char|-      -
0.14%|0.14%|[.] _M0MPC14json12ParseContext18scan__json__number|-      -
0.14%|0.14%|[.] _M0MPC15deque5Deque10pop__frontGRP27Hosi12111ws__session7MessageE|-      -
0.14%|0.14%|[.] _M0MPC15deque5Deque10pop__frontGRP311moonbitlang5async9semaphore6WaiterE|-      -
0.14%|0.14%|[.] simdutf::utf8_length_from_utf16le(char16_t const*, unsigned long)|-      -
0.14%|0.14%|[.] 0x000000000018891d|-      -
0.14%|0.14%|[.] 0x0000000000188d91|-      -
0.14%|0.07%|[.] _M0MP411moonbitlang5async8internal11event__loop8IoHandle10wait__readN8_2adeferS7617|-      -
0.14%|0.04%|[.] _M0FP311moonbitlang5async9os__error26is__nonblocking__io__error|-      -
0.14%|0.00%|[.] _M0MP311moonbitlang5async9websocket4Conn12end__messageN8_2adeferS13507|-      -
0.14%|0.00%|[.] _M0MP411moonbitlang5async8internal11event__loop8IoHandle10wait__readN16_2aasync__driverS1775|-      -
0.14%|0.00%|[.] 0x00007a182858891d|-      -
0.14%|0.00%|[.] 0x00007a1828588d91|-      -
0.11%|0.11%|[.] _M0IP311moonbitlang5async4http6ReaderP311moonbitlang5async2io6Reader14__direct__read|-      -
0.11%|0.11%|[.] _M0MPC111sorted__set4Node14update__heightGRP411moonbitlang5async8internal11event__loop5TimerE|-      -
0.11%|0.11%|[.] _M0MPC13set3Set4iterGRP411moonbitlang5async8internal9coroutine9CoroutineEC23101l531|-      -
0.11%|0.11%|[.] __errno_location|-      -
